Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	10.0
Elapsed Live Time:	9.96
Start Time:	June 11, 2021, 03:55:54
End Time:	June 11, 2021, 03:56:04
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		1
5		5
6		9
7		8
8		13
9		9
10		12
11		21
12		18
13		22
14		29
15		29
16		34
17		36
18		31
19		39
20		36
21		45
22		42
23		42
24		46
25		48
26		47
27		37
28		49
29		42
30		47
31		33
32		46
33		50
34		32
35		36
36		36
37		42
38		37
39		41
40		35
41		29
42		43
43		37
44		25
45		24
46		28
47		29
48		30
49		29
50		31
51		26
52		28
53		27
54		25
55		33
56		24
57		19
58		18
59		24
60		23
61		31
62		26
63		25
64		29
65		28
66		17
67		24
68		19
69		20
70		24
71		15
72		23
73		11
74		10
75		11
76		14
77		14
78		17
79		19
80		22
81		16
82		13
83		9
84		19
85		20
86		14
87		14
88		11
89		22
90		15
91		10
92		9
93		7
94		17
95		10
96		12
97		9
98		8
99		10
100		13
101		11
102		14
103		11
104		9
105		14
106		11
107		6
108		10
109		5
110		7
111		11
112		9
113		7
114		9
115		12
116		6
117		5
118		7
119		9
120		12
121		7
122		5
123		10
124		5
125		6
126		7
127		9
128		7
129		3
130		9
131		7
132		8
133		9
134		5
135		6
136		8
137		8
138		10
139		10
140		6
141		6
142		5
143		4
144		4
145		6
146		3
147		8
148		5
149		5
150		7
151		7
152		5
153		6
154		3
155		4
156		7
157		7
158		8
159		6
160		5
161		7
162		8
163		2
164		5
165		7
166		9
167		5
168		6
169		5
170		5
171		3
172		7
173		9
174		4
175		4
176		5
177		5
178		2
179		3
180		6
181		3
182		4
183		8
184		4
185		1
186		7
187		8
188		4
189		5
190		5
191		4
192		1
193		4
194		5
195		4
196		1
197		6
198		4
199		0
200		1
201		4
202		3
203		7
204		1
205		2
206		5
207		1
208		4
209		2
210		1
211		3
212		1
213		3
214		3
215		4
216		3
217		2
218		2
219		2
220		2
221		0
222		3
223		2
224		2
225		5
226		4
227		2
228		5
229		3
230		8
231		3
232		2
233		2
234		4
235		2
236		8
237		4
238		2
239		2
240		1
241		1
242		1
243		1
244		3
245		2
246		4
247		2
248		5
249		2
250		5
251		2
252		2
253		3
254		4
255		4
256		5
257		9
258		11
259		5
260		4
261		7
262		12
263		7
264		6
265		4
266		4
267		8
268		9
269		6
270		9
271		3
272		4
273		10
274		4
275		7
276		4
277		5
278		7
279		4
280		6
281		7
282		1
283		3
284		4
285		4
286		5
287		3
288		2
289		2
290		4
291		1
292		3
293		2
294		1
295		4
296		3
297		0
298		0
299		4
300		2
301		2
302		1
303		1
304		2
305		0
306		0
307		4
308		0
309		0
310		2
311		0
312		1
313		2
314		1
315		1
316		3
317		2
318		1
319		1
320		2
321		2
322		0
323		2
324		5
325		1
326		1
327		1
328		1
329		1
330		3
331		1
332		1
333		0
334		1
335		2
336		4
337		1
338		0
339		2
340		0
341		5
342		1
343		1
344		0
345		2
346		1
347		0
348		1
349		0
350		5
351		4
352		0
353		1
354		2
355		2
356		1
357		1
358		1
359		1
360		0
361		3
362		2
363		1
364		2
365		0
366		0
367		1
368		0
369		1
370		0
371		0
372		1
373		0
374		2
375		0
376		0
377		2
378		0
379		2
380		0
381		0
382		0
383		1
384		0
385		0
386		0
387		1
388		3
389		0
390		2
391		0
392		1
393		0
394		1
395		0
396		2
397		1
398		1
399		1
400		3
401		2
402		0
403		3
404		2
405		3
406		1
407		1
408		1
409		1
410		1
411		1
412		1
413		2
414		1
415		2
416		0
417		1
418		2
419		1
420		1
421		3
422		3
423		3
424		0
425		0
426		0
427		2
428		2
429		0
430		0
431		0
432		0
433		2
434		0
435		3
436		1
437		0
438		0
439		0
440		0
441		0
442		1
443		0
444		2
445		0
446		0
447		2
448		0
449		0
450		0
451		0
452		1
453		2
454		2
455		0
456		1
457		1
458		1
459		1
460		0
461		1
462		2
463		1
464		1
465		0
466		4
467		1
468		0
469		0
470		0
