Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.33
Elapsed Live Time:	300.0
Start Time:	June 11, 2021, 02:44:26
End Time:	June 11, 2021, 02:49:26
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		2
5		17
6		85
7		77
8		94
9		124
10		124
11		158
12		187
13		206
14		260
15		314
16		344
17		403
18		448
19		419
20		418
21		390
22		412
23		430
24		346
25		389
26		374
27		342
28		365
29		351
30		336
31		364
32		330
33		345
34		314
35		306
36		311
37		293
38		297
39		281
40		266
41		276
42		267
43		240
44		242
45		234
46		220
47		235
48		236
49		222
50		216
51		225
52		200
53		216
54		202
55		208
56		204
57		196
58		185
59		186
60		193
61		169
62		179
63		186
64		159
65		162
66		162
67		167
68		155
69		146
70		156
71		155
72		167
73		154
74		148
75		136
76		153
77		125
78		128
79		154
80		117
81		149
82		131
83		125
84		91
85		117
86		134
87		116
88		98
89		107
90		108
91		109
92		108
93		93
94		111
95		108
96		106
97		95
98		112
99		107
100		101
101		85
102		91
103		101
104		94
105		95
106		83
107		101
108		84
109		86
110		96
111		91
112		74
113		77
114		78
115		93
116		101
117		71
118		83
119		83
120		86
121		80
122		77
123		65
124		67
125		58
126		53
127		65
128		85
129		54
130		59
131		76
132		60
133		61
134		63
135		66
136		63
137		47
138		53
139		59
140		74
141		60
142		66
143		60
144		52
145		42
146		47
147		55
148		36
149		51
150		64
151		74
152		61
153		64
154		70
155		56
156		53
157		65
158		57
159		68
160		56
161		53
162		51
163		68
164		70
165		73
166		54
167		49
168		60
169		62
170		58
171		38
172		48
173		53
174		31
175		38
176		44
177		45
178		53
179		52
180		46
181		50
182		50
183		44
184		38
185		28
186		37
187		32
188		42
189		44
190		42
191		40
192		31
193		45
194		42
195		45
196		33
197		42
198		50
199		53
200		37
201		47
202		51
203		47
204		61
205		42
206		45
207		51
208		35
209		35
210		52
211		36
212		46
213		39
214		38
215		42
216		32
217		38
218		33
219		38
220		37
221		42
222		42
223		31
224		27
225		23
226		30
227		24
228		39
229		33
230		19
231		21
232		28
233		21
234		29
235		29
236		25
237		28
238		22
239		21
240		25
241		19
242		30
243		30
244		22
245		25
246		21
247		24
248		21
249		29
250		19
251		26
252		23
253		33
254		17
255		35
256		26
257		32
258		33
259		31
260		25
261		25
262		30
263		25
264		28
265		21
266		36
267		23
268		24
269		26
270		30
271		27
272		31
273		24
274		30
275		24
276		29
277		18
278		24
279		20
280		26
281		21
282		20
283		16
284		21
285		23
286		20
287		20
288		12
289		20
290		18
291		22
292		13
293		24
294		21
295		17
296		26
297		16
298		21
299		19
300		21
301		22
302		24
303		23
304		23
305		19
306		18
307		21
308		13
309		14
310		14
311		12
312		14
313		17
314		21
315		15
316		16
317		19
318		17
319		19
320		16
321		17
322		13
323		20
324		15
325		10
326		13
327		17
328		15
329		8
330		20
331		12
332		15
333		9
334		18
335		14
336		10
337		15
338		15
339		17
340		13
341		12
342		8
343		12
344		9
345		11
346		8
347		20
348		20
349		8
350		11
351		18
352		16
353		17
354		12
355		20
356		15
357		23
358		17
359		13
360		10
361		19
362		14
363		23
364		16
365		15
366		20
367		24
368		8
369		18
370		23
371		13
372		13
373		9
374		13
375		18
376		14
377		25
378		15
379		18
380		16
381		13
382		16
383		15
384		19
385		16
386		11
387		15
388		14
389		16
390		14
391		12
392		17
393		10
394		17
395		16
396		13
397		5
398		18
399		15
400		19
401		15
402		9
403		16
404		10
405		15
406		19
407		6
408		12
409		10
410		21
411		10
412		14
413		14
414		10
415		17
416		9
417		10
418		15
419		14
420		12
421		11
422		16
423		17
424		11
425		13
426		13
427		18
428		16
429		7
430		7
431		10
432		12
433		14
434		8
435		12
436		12
437		9
438		8
439		7
440		7
441		13
442		6
443		13
444		5
445		9
446		8
447		9
448		7
449		6
450		7
451		6
452		7
453		7
454		8
455		12
456		7
457		8
458		5
459		10
460		7
461		12
462		6
463		5
464		10
465		5
466		4
467		9
468		8
469		11
