Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.0
Elapsed Live Time:	293.73
Start Time:	June 11, 2021, 03:32:37
End Time:	June 11, 2021, 03:37:37
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		3
3		0
4		21
5		283
6		746
7		914
8		951
9		1158
10		1236
11		1399
12		1556
13		1652
14		1819
15		2066
16		2351
17		2526
18		2596
19		2673
20		2795
21		2659
22		2577
23		2412
24		2329
25		2192
26		2101
27		2005
28		2089
29		2021
30		1993
31		1950
32		2017
33		1957
34		2044
35		1964
36		2017
37		2021
38		1969
39		1928
40		1962
41		1876
42		1971
43		1836
44		1864
45		1927
46		1847
47		1876
48		1938
49		1909
50		1821
51		1899
52		1854
53		1861
54		1835
55		1869
56		1842
57		1885
58		1950
59		1980
60		2077
61		2103
62		2104
63		2191
64		2125
65		2262
66		2231
67		2257
68		2228
69		2282
70		2275
71		2262
72		2346
73		2228
74		2344
75		2284
76		2391
77		2414
78		2350
79		2231
80		2292
81		2313
82		2358
83		2301
84		2314
85		2158
86		2279
87		2223
88		2157
89		2204
90		2190
91		2180
92		2159
93		2155
94		2083
95		2074
96		2028
97		2015
98		1951
99		1993
100		1905
101		1827
102		1872
103		1856
104		1806
105		1807
106		1773
107		1766
108		1785
109		1765
110		1753
111		1647
112		1675
113		1723
114		1566
115		1557
116		1518
117		1563
118		1436
119		1476
120		1513
121		1507
122		1488
123		1400
124		1455
125		1339
126		1415
127		1362
128		1358
129		1387
130		1351
131		1336
132		1270
133		1327
134		1330
135		1313
136		1244
137		1259
138		1248
139		1237
140		1245
141		1222
142		1232
143		1220
144		1243
145		1175
146		1237
147		1233
148		1197
149		1241
150		1220
151		1221
152		1218
153		1199
154		1193
155		1282
156		1242
157		1218
158		1244
159		1116
160		1246
161		1203
162		1165
163		1186
164		1103
165		1137
166		1146
167		1138
168		1066
169		1123
170		1142
171		1176
172		1038
173		1120
174		1065
175		1065
176		1070
177		1022
178		1078
179		1087
180		1090
181		1012
182		1048
183		1052
184		1024
185		1066
186		1035
187		1104
188		1078
189		1057
190		1057
191		1075
192		1012
193		1017
194		1078
195		1037
196		1082
197		1050
198		1052
199		1063
200		1044
201		1073
202		1074
203		1061
204		1074
205		1071
206		1051
207		1062
208		1042
209		1088
210		1073
211		1035
212		1063
213		1136
214		1067
215		1095
216		1106
217		1066
218		1138
219		1097
220		1032
221		1041
222		1064
223		1050
224		1080
225		1085
226		998
227		999
228		1011
229		1070
230		1023
231		1036
232		1054
233		1025
234		1021
235		1074
236		1065
237		1061
238		1060
239		1053
240		1118
241		1109
242		1104
243		1158
244		1063
245		1069
246		1129
247		1116
248		1055
249		1204
250		1073
251		1159
252		1173
253		1164
254		1100
255		1193
256		1252
257		1191
258		1212
259		1183
260		1163
261		1220
262		1150
263		1220
264		1226
265		1214
266		1333
267		1274
268		1207
269		1296
270		1269
271		1232
272		1216
273		1210
274		1269
275		1269
276		1298
277		1274
278		1215
279		1199
280		1244
281		1207
282		1138
283		1195
284		1180
285		1204
286		1172
287		1129
288		1117
289		1104
290		1094
291		1018
292		1054
293		1029
294		979
295		1006
296		1030
297		1016
298		993
299		989
300		965
301		929
302		976
303		918
304		919
305		908
306		881
307		955
308		841
309		856
310		873
311		829
312		826
313		872
314		829
315		811
316		853
317		766
318		791
319		803
320		804
321		760
322		791
323		719
324		766
325		769
326		781
327		755
328		753
329		711
330		726
331		738
332		756
333		731
334		714
335		686
336		758
337		729
338		726
339		695
340		701
341		743
342		809
343		780
344		781
345		875
346		848
347		946
348		902
349		917
350		1051
351		1062
352		1075
353		1102
354		1216
355		1259
356		1247
357		1365
358		1406
359		1521
360		1627
361		1598
362		1685
363		1698
364		1775
365		1838
366		1862
367		1893
368		2023
369		2045
370		2026
371		1981
372		1972
373		2009
374		1984
375		1946
376		1907
377		1822
378		1803
379		1805
380		1679
381		1699
382		1532
383		1484
384		1442
385		1331
386		1179
387		1208
388		1141
389		1049
