Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.0
Elapsed Live Time:	294.94
Start Time:	June 11, 2021, 03:02:49
End Time:	June 11, 2021, 03:07:49
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		5
4		59
5		623
6		1571
7		1526
8		1536
9		1486
10		1563
11		1598
12		1750
13		1866
14		2047
15		2206
16		2546
17		2716
18		2760
19		2920
20		2878
21		2879
22		2747
23		2575
24		2436
25		2344
26		2305
27		2276
28		2186
29		2204
30		2218
31		2209
32		2222
33		2161
34		2227
35		2249
36		2294
37		2259
38		2160
39		2092
40		2197
41		2117
42		2125
43		2140
44		2072
45		1994
46		2073
47		2175
48		2109
49		2219
50		2320
51		2198
52		2362
53		2471
54		2471
55		2499
56		2663
57		2670
58		2631
59		2637
60		2743
61		2733
62		2847
63		2765
64		2822
65		2781
66		2763
67		2781
68		2725
69		2753
70		2794
71		2749
72		2753
73		2771
74		2640
75		2674
76		2530
77		2571
78		2544
79		2545
80		2444
81		2334
82		2357
83		2378
84		2255
85		2295
86		2158
87		2169
88		2187
89		2035
90		2080
91		2023
92		2009
93		2006
94		2007
95		1941
96		1909
97		1909
98		1873
99		1801
100		1714
101		1725
102		1736
103		1787
104		1741
105		1737
106		1774
107		1716
108		1681
109		1727
110		1670
111		1782
112		1669
113		1712
114		1685
115		1711
116		1607
117		1581
118		1614
119		1644
120		1673
121		1649
122		1600
123		1610
124		1568
125		1601
126		1589
127		1661
128		1637
129		1631
130		1661
131		1565
132		1601
133		1574
134		1581
135		1534
136		1556
137		1432
138		1369
139		1367
140		1285
141		1267
142		1146
143		1157
144		1126
145		951
146		954
147		892
148		791
149		761
150		680
151		700
152		624
153		552
154		539
155		518
156		541
157		518
158		461
159		405
160		405
161		414
162		372
163		383
164		344
165		346
166		330
167		318
168		308
169		288
170		264
171		268
172		299
173		281
174		286
175		290
176		291
177		284
178		311
179		319
180		353
181		434
182		431
183		459
184		546
185		586
186		727
187		755
188		954
189		1064
190		1250
191		1436
192		1669
193		1959
194		2090
195		2415
196		2700
197		3123
198		3463
199		3724
200		4142
201		4459
202		4754
203		5052
204		5222
205		5543
206		5690
207		5940
208		5907
209		6009
210		5992
211		5892
212		5798
213		5690
214		5306
215		5063
216		4557
217		4458
218		4136
219		3643
220		3431
221		2934
222		2522
223		2311
224		1860
225		1620
226		1369
227		1149
228		964
229		795
230		610
231		481
232		408
233		328
234		255
235		202
236		147
237		118
238		120
239		79
240		86
241		64
242		59
243		62
244		44
245		41
246		41
247		38
248		46
249		39
250		35
251		34
252		29
253		41
254		32
255		43
256		36
257		37
258		36
259		42
260		35
261		33
262		36
263		54
264		41
265		40
266		35
267		24
268		38
269		36
270		35
271		37
272		22
273		31
274		33
275		26
276		38
277		29
278		27
279		20
280		27
281		30
282		22
283		23
284		21
285		26
286		26
287		23
288		23
289		26
290		23
291		23
292		25
293		31
294		20
295		23
296		25
297		20
298		23
299		20
300		23
301		28
302		21
303		23
304		19
305		28
306		25
307		26
308		21
309		23
310		23
311		15
312		18
313		14
314		16
315		28
316		26
317		20
318		19
319		22
320		15
321		13
322		10
323		20
324		21
325		24
326		18
327		11
328		22
329		18
330		25
331		22
332		21
333		23
334		23
335		14
336		15
337		10
338		18
339		19
340		14
341		16
342		21
343		19
344		30
345		12
346		18
347		17
348		17
349		18
350		24
351		15
352		17
353		12
354		24
355		17
356		16
357		15
358		23
359		19
360		18
361		25
362		22
363		19
364		28
365		18
366		21
367		25
368		22
369		22
370		26
371		21
372		13
373		23
374		19
375		24
376		15
377		18
378		27
379		20
380		14
381		21
382		20
383		18
384		20
385		17
386		13
387		17
388		19
389		14
390		16
391		15
392		17
393		25
394		11
395		15
396		15
397		12
398		15
399		17
400		21
401		18
402		24
403		22
404		21
405		16
406		17
407		16
408		25
409		21
410		13
411		15
412		11
413		21
414		23
415		21
416		15
417		12
418		28
419		25
420		21
421		13
422		13
423		20
424		17
425		12
426		16
