Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.0
Elapsed Live Time:	287.54
Start Time:	June 11, 2021, 03:12:01
End Time:	June 11, 2021, 03:17:02
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		2
2		3
3		10
4		78
5		828
6		1983
7		2404
8		2782
9		3078
10		3282
11		3702
12		3916
13		4376
14		4799
15		5224
16		5852
17		6486
18		6682
19		6931
20		6928
21		6912
22		6702
23		6356
24		5803
25		5744
26		5375
27		5270
28		5268
29		5311
30		5433
31		5231
32		5421
33		5418
34		5422
35		5415
36		5331
37		5322
38		5299
39		5084
40		5104
41		5145
42		5156
43		5200
44		5253
45		5394
46		5497
47		5572
48		5590
49		5902
50		6004
51		6227
52		6259
53		6430
54		6613
55		6632
56		6844
57		6648
58		6912
59		7043
60		6996
61		6975
62		7007
63		6745
64		6991
65		6798
66		6827
67		6708
68		6650
69		6692
70		6454
71		6487
72		6487
73		6396
74		6119
75		6079
76		6135
77		6162
78		5922
79		5851
80		5870
81		5731
82		5730
83		5631
84		5544
85		5520
86		5404
87		5336
88		5358
89		5379
90		5273
91		5118
92		5043
93		4951
94		4821
95		4683
96		4546
97		4442
98		4201
99		4114
100		3965
101		3622
102		3708
103		3395
104		3281
105		3120
106		2919
107		2846
108		2778
109		2557
110		2493
111		2444
112		2321
113		2181
114		2163
115		2091
116		1963
117		1949
118		1875
119		1868
120		1754
121		1757
122		1679
123		1661
124		1678
125		1687
126		1609
127		1561
128		1561
129		1582
130		1443
131		1558
132		1523
133		1617
134		1600
135		1728
136		1726
137		1924
138		1966
139		2266
140		2369
141		2857
142		3125
143		3535
144		3966
145		4533
146		5163
147		5895
148		6639
149		7714
150		8581
151		9679
152		10557
153		11619
154		12599
155		13519
156		14346
157		14912
158		15779
159		15990
160		16208
161		16162
162		16008
163		15667
164		14882
165		14532
166		13647
167		12616
168		11417
169		10557
170		9462
171		8236
172		7199
173		6225
174		5388
175		4485
176		3848
177		3234
178		2602
179		2228
180		1926
181		1639
182		1448
183		1264
184		1132
185		995
186		905
187		853
188		856
189		778
190		740
191		727
192		763
193		749
194		730
195		756
196		746
197		731
198		741
199		764
200		766
201		675
202		794
203		749
204		788
205		786
206		761
207		775
208		805
209		749
210		753
211		771
212		759
213		729
214		713
215		756
216		739
217		721
218		703
219		766
220		729
221		761
222		690
223		748
224		703
225		732
226		704
227		734
228		741
229		679
230		681
231		703
232		732
233		731
234		716
235		777
236		722
237		719
238		694
239		709
240		716
241		698
242		704
243		706
244		709
245		725
246		722
247		686
248		718
249		728
250		680
251		734
252		704
253		722
254		728
255		765
256		715
257		750
258		774
259		764
260		733
261		714
262		724
263		720
264		721
265		738
266		765
267		734
268		715
269		792
270		751
271		783
272		722
273		692
274		743
275		735
276		731
277		701
278		803
279		735
280		749
281		709
282		772
283		786
284		815
285		788
286		792
287		781
288		726
289		773
290		750
291		812
292		786
293		786
294		777
295		760
296		776
297		794
298		826
299		816
300		811
301		805
302		816
303		760
304		836
305		803
306		851
307		820
308		759
309		818
310		823
311		734
312		750
313		754
314		753
315		725
316		769
317		747
318		695
319		706
320		719
321		691
322		636
323		669
324		631
325		617
326		600
327		592
328		566
329		581
330		503
331		509
332		497
333		472
334		457
335		412
336		422
337		390
338		425
339		370
340		360
341		329
342		341
343		340
344		323
345		300
346		326
347		293
348		252
349		296
350		256
351		290
352		259
353		236
354		257
355		249
356		246
357		251
358		195
359		231
360		259
361		239
362		218
363		249
364		265
365		205
366		275
367		269
368		306
369		299
370		315
371		354
372		344
373		398
374		370
375		437
376		454
377		483
378		548
379		561
380		629
381		637
382		643
383		744
384		749
385		906
386		896
387		929
388		1049
389		1093
390		1130
391		1242
392		1287
393		1390
394		1407
395		1515
396		1600
397		1614
398		1693
399		1712
400		1801
401		1816
402		1852
403		1954
404		1978
405		1859
406		1903
407		1833
408		1873
409		1786
410		1785
411		1768
412		1635
413		1588
414		1580
415		1434
416		1410
417		1336
418		1245
419		1146
420		1066
421		1045
422		1004
423		827
424		746
425		708
426		616
427		596
428		540
429		486
430		418
431		351
432		378
433		287
434		245
435		277
436		228
437		187
438		172
439		172
440		160
441		143
442		124
443		124
444		115
445		109
446		88
447		79
448		86
449		87
450		86
451		89
452		88
453		94
454		75
455		70
456		79
457		78
458		87
459		77
460		87
461		97
462		75
463		69
464		62
465		98
466		87
467		70
468		82
469		71
470		97
471		71
472		84
473		71
474		67
475		71
476		87
477		73
478		78
479		72
480		88
481		68
482		58
483		73
484		67
485		66
486		42
487		77
488		61
489		66
490		56
491		55
492		50
493		59
494		55
495		68
496		53
497		58
498		47
499		49
500		56
501		54
502		56
503		35
504		55
505		36
506		37
507		29
508		26
509		37
510		38
511		30
512		26
513		22
514		36
515		19
516		33
517		32
518		27
519		26
520		16
521		17
522		21
523		19
524		26
525		21
526		25
527		22
528		21
529		21
530		19
531		14
532		20
533		27
534		35
535		24
536		31
537		19
538		32
539		39
540		20
541		40
542		29
543		21
544		34
545		36
546		45
547		40
548		45
549		36
550		46
551		49
552		53
553		34
554		60
555		55
556		61
557		65
558		61
559		49
560		56
561		59
562		66
563		69
564		68
565		57
566		51
567		58
568		66
569		75
570		50
571		59
572		64
573		53
574		47
575		56
576		49
577		49
578		46
579		43
580		42
581		40
582		39
583		41
584		46
585		36
586		38
587		23
588		31
589		20
590		23
591		19
592		18
593		14
594		23
595		13
596		13
597		12
598		21
599		8
600		3
601		9
602		3
603		10
604		7
605		3
606		6
607		4
608		8
609		7
610		5
611		2
612		3
613		7
614		6
615		1
616		4
617		3
618		3
619		1
620		3
621		0
622		2
623		1
624		2
625		2
626		4
627		3
628		3
629		1
630		0
631		1
632		1
633		2
634		0
635		1
636		1
637		4
638		1
639		0
640		1
641		0
642		6
643		2
644		2
645		2
646		1
647		0
648		0
649		2
650		2
651		5
652		3
653		1
654		3
655		2
656		3
657		1
658		1
659		1
660		3
661		3
662		1
663		2
664		0
665		1
666		3
667		2
668		4
669		3
670		2
671		2
672		0
673		2
674		2
675		1
676		4
677		0
678		0
679		0
680		2
681		4
682		2
683		1
684		3
685		4
686		2
687		4
688		0
689		2
690		2
691		1
692		2
693		2
694		3
695		1
696		1
697		3
698		0
699		2
700		3
701		2
702		1
703		3
704		1
705		0
706		3
707		2
708		2
709		3
710		1
711		1
712		2
713		0
714		1
715		1
716		0
717		0
718		1
719		0
720		2
721		0
722		3
723		2
724		0
725		1
726		0
727		1
728		2
729		2
730		1
731		2
732		2
733		3
734		2
735		0
736		1
737		0
738		2
739		0
740		0
741		0
742		2
743		1
744		1
745		0
746		1
747		2
748		2
749		1
750		0
751		0
752		1
753		2
754		0
755		2
756		3
757		1
758		2
759		0
760		1
761		1
762		0
763		0
764		1
765		1
766		2
767		1
768		1
769		1
770		3
771		1
772		1
773		0
774		0
775		0
776		2
777		1
778		0
779		2
780		1
781		2
782		0
783		0
784		1
785		0
786		0
787		0
788		1
789		0
790		0
791		0
792		2
793		0
794		0
795		1
796		2
797		0
798		1
799		0
800		1
801		2
802		0
803		1
804		1
805		1
806		3
807		2
808		0
809		1
810		1
811		0
812		1
813		1
814		0
815		0
816		1
817		0
818		1
819		0
820		3
821		1
822		0
823		0
824		1
825		2
826		1
827		1
828		1
829		0
830		1
831		2
832		2
833		0
834		0
835		3
836		0
837		0
838		0
839		1
840		0
841		1
842		0
843		1
844		1
845		2
846		0
847		1
848		1
849		0
850		1
851		0
852		0
853		1
854		0
855		0
856		2
857		1
858		1
859		0
860		0
861		1
862		0
863		0
864		0
865		0
866		0
867		1
868		0
869		0
870		0
871		0
872		0
873		1
874		0
875		0
876		0
877		1
878		0
879		1
880		0
881		0
882		2
883		1
884		0
885		1
886		0
887		0
888		0
889		0
890		0
891		0
892		0
893		1
894		0
895		1
896		0
897		0
898		0
899		0
900		2
901		0
902		0
903		0
904		1
905		0
906		0
907		0
908		0
909		0
910		0
911		0
912		0
913		0
914		0
915		1
916		0
917		0
918		1
919		0
920		0
921		0
922		0
923		0
924		0
925		0
926		0
927		1
928		0
929		0
930		1
931		0
932		1
933		0
934		0
935		0
936		0
937		0
938		0
939		0
940		0
941		1
942		0
943		0
944		0
945		0
946		0
947		0
948		0
949		0
950		0
951		0
952		0
953		1
954		0
955		0
956		0
957		0
958		1
959		0
960		0
961		0
962		0
963		0
964		0
965		0
966		2
967		0
968		0
969		0
970		0
971		1
972		0
973		1
974		0
975		0
976		0
977		0
978		2
979		0
980		0
981		0
982		0
983		0
984		0
985		1
986		1
987		0
988		0
989		1
990		0
991		0
992		0
993		1
994		1
995		0
996		0
997		1
998		0
999		0
1000		1
1001		0
1002		0
1003		0
1004		0
1005		0
1006		0
1007		0
1008		0
1009		0
1010		0
1011		1
1012		0
1013		0
1014		0
1015		0
1016		1
1017		0
1018		0
1019		0
1020		0
1021		0
1022		0
1023		0
